Navn;Måned;Dag;AB;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;SUM
Kontor;høylast;helg;A;-0,623;-0,206;-0,234;-0,227;-0,168;-0,147;-0,536;-0,739;-0,940;-1,641;-1,701;-1,667;-1,416;-1,181;-0,783;-0,770;-0,892;-0,818;-0,701;-0,600;-0,615;-0,538;-0,685;-0,700;-18,528
Kontor;høylast;helg;B;107,286;102,043;100,498;100,635;99,890;99,892;103,752;104,773;110,019;119,227;123,649;126,109;123,465;123,772;119,859;115,739;115,594;115,150;112,861;112,816;111,567;110,379;110,164;108,648;2677,787
Kontor;lavlast;hverdag;A;-1,271;-0,953;-0,846;-0,982;-1,045;-1,070;-1,395;-0,494;-2,470;-2,876;-2,842;-2,777;-2,804;-2,853;-3,021;-3,934;-2,237;-1,476;-1,172;-0,714;-0,738;-0,809;-1,074;-1,381;-41,234
Kontor;lavlast;hverdag;B;104,767;97,558;96,979;103,395;103,837;103,557;128,651;190,887;273,450;295,530;300,267;302,200;302,231;299,898;294,786;279,434;224,146;190,067;170,029;151,208;138,950;125,529;113,548;110,230;4501,134
Kontor;lavlast;helg;A;-1,348;-0,969;-0,962;-0,915;-0,987;-1,084;-1,432;-1,319;-0,973;-0,902;-0,898;-0,936;-0,930;-0,888;-0,891;-1,057;-1,074;-1,099;-1,166;-1,142;-1,062;-1,022;-1,033;-1,324;-25,413
Kontor;lavlast;helg;B;102,693;95,583;94,579;93,518;93,080;93,274;98,590;99,517;103,657;112,609;116,219;118,420;115,529;115,706;113,198;110,192;109,004;108,388;106,635;105,765;104,348;103,586;103,264;102,731;2520,085
Hotell;høylast;hverdag;A;-4,106;-4,058;-4,236;-4,330;-4,532;-4,617;-4,234;-4,617;-5,064;-4,488;-4,283;-3,877;-3,787;-3,839;-3,995;-3,668;-3,956;-4,294;-4,744;-4,942;-4,934;-5,009;-4,798;-4,293;-104,701
Hotell;høylast;hverdag;B;216,687;209,124;201,458;198,723;199,205;203,251;218,231;244,470;262,273;266,783;267,072;265,913;262,562;261,495;261,050;261,827;264,649;272,076;279,040;279,096;274,564;265,588;250,640;234,789;5920,566
Hotell;høylast;helg;A;-4,706;-4,560;-4,646;-4,489;-4,519;-4,758;-4,582;-4,410;-4,839;-4,730;-4,256;-3,748;-3,697;-3,490;-4,035;-3,889;-3,933;-4,721;-5,026;-5,108;-5,050;-5,142;-4,944;-4,119;-107,397
Hotell;høylast;helg;B;225,935;217,868;207,254;202,275;200,316;202,241;214,011;234,967;256,995;266,560;265,687;265,389;262,569;261,965;262,643;263,581;265,399;269,624;274,650;273,177;268,588;258,711;245,202;230,078;5895,685
Hotell;lavlast;hverdag;A;-5,323;-5,267;-5,115;-5,129;-5,150;-5,104;-5,014;-5,184;-5,333;-5,234;-5,058;-5,145;-5,113;-5,119;-5,125;-5,181;-5,384;-5,467;-5,540;-5,387;-5,385;-5,560;-5,486;-5,486;-126,289
Hotell;lavlast;hverdag;B;191,258;182,741;175,994;174,114;175,180;182,153;197,359;220,234;234,579;237,352;237,268;236,398;233,302;233,171;233,139;233,717;236,153;240,649;244,797;243,813;240,310;233,812;220,905;205,791;5244,189
Hotell;lavlast;helg;A;-5,864;-5,780;-5,462;-5,372;-5,363;-5,371;-5,310;-5,149;-5,318;-5,421;-5,345;-5,500;-5,468;-5,356;-5,502;-5,378;-5,513;-5,672;-5,584;-5,582;-5,451;-5,494;-5,682;-5,779;-131,716
Hotell;lavlast;helg;B;200,431;191,319;181,591;176,715;175,813;181,644;194,863;210,667;227,700;236,132;236,373;235,924;233,558;232,553;234,276;234,023;234,692;238,121;239,328;237,387;230,530;223,295;214,036;201,862;5202,833
Skole;høylast;hverdag;A;-2,406;-2,275;-2,520;-2,359;-2,263;-1,573;-0,432;-1,002;-0,808;-1,223;-1,285;-1,267;-1,341;-1,290;-2,398;-3,000;-3,109;-3,291;-3,337;-3,221;-3,126;-2,915;-2,693;-2,611;-51,745
Skole;høylast;hverdag;B;90,975;92,555;93,319;97,401;100,160;107,593;118,490;127,714;152,261;152,257;146,396;140,209;140,976;137,878;120,907;106,039;100,785;97,829;100,798;102,293;99,948;96,100;91,335;91,078;2705,296
Skole;høylast;helg;A;-2,046;-2,219;-2,129;-2,137;-1,916;-2,097;-2,113;-2,079;-1,831;-2,187;-2,485;-2,561;-2,789;-2,823;-2,900;-2,788;-2,820;-2,820;-2,861;-2,843;-2,522;-2,274;-2,152;-2,380;-57,772
Skole;høylast;helg;B;93,737;93,344;94,770;96,034;97,918;97,476;96,776;97,898;97,067;94,645;91,294;89,591;86,184;83,887;81,472;80,833;82,390;86,195;89,821;89,171;88,184;88,463;89,548;90,062;2176,760
Skole;lavlast;hverdag;A;-3,289;-3,412;-3,540;-3,592;-4,046;-4,858;-5,068;-5,711;-6,078;-5,733;-5,391;-5,224;-5,203;-4,959;-4,658;-4,732;-4,861;-4,312;-4,144;-3,822;-3,299;-3,275;-3,230;-3,278;-105,715
Skole;lavlast;hverdag;B;84,052;84,903;86,994;88,498;95,165;111,333;122,419;135,004;156,726;157,593;152,734;147,327;146,370;142,703;130,443;122,671;116,353;104,874;104,661;101,155;93,028;89,456;85,122;83,330;2742,914
Skole;lavlast;helg;A;-3,174;-3,187;-3,259;-3,425;-3,370;-3,612;-3,582;-3,776;-3,765;-3,588;-3,595;-3,489;-3,447;-3,586;-3,184;-3,287;-3,550;-3,562;-3,690;-3,530;-3,096;-3,324;-3,464;-3,443;-82,985
Skole;lavlast;helg;B;84,693;84,943;84,586;86,371;86,733;88,448;88,908;90,522;91,141;90,915;89,190;88,167;87,499;86,313;85,602;86,315;88,010;89,817;90,431;89,337;86,423;85,152;84,314;84,520;2098,350
Helse og sosial;høylast;hverdag;A;-31,718;-31,907;-32,174;-32,463;-32,419;-33,301;-32,433;-39,244;-34,096;-34,919;-32,243;-31,967;-34,731;-32,266;-37,343;-34,895;-33,017;-34,646;-34,131;-34,149;-34,001;-33,953;-32,634;-32,445;-807,095
Helse og sosial;høylast;hverdag;B;1050,539;1043,606;1040,771;1038,470;1043,435;1050,765;1145,913;1420,601;1621,464;1618,141;1683,880;1603,700;1526,940;1513,810;1442,782;1296,273;1211,546;1179,073;1186,771;1152,486;1109,456;1083,735;1058,074;1046,175;30168,406
Helse og sosial;høylast;helg;A;-30,022;-30,907;-30,497;-30,624;-31,235;-31,274;-30,235;-34,664;-31,964;-33,849;-31,399;-31,067;-32,771;-30,149;-30,484;-28,418;-28,417;-30,194;-29,921;-31,371;-31,665;-31,547;-30,392;-29,635;-742,701
Helse og sosial;høylast;helg;B;1039,390;1029,484;1030,721;1027,828;1025,552;1032,908;1101,055;1230,824;1281,727;1296,001;1306,403;1261,292;1197,546;1189,458;1170,654;1145,819;1127,694;1124,559;1142,658;1116,746;1081,119;1055,262;1034,463;1026,381;27075,544
Helse og sosial;lavlast;hverdag;A;-31,226;-31,162;-31,217;-31,315;-31,366;-31,581;-32,462;-36,925;-34,616;-32,223;-33,852;-33,557;-32,432;-33,151;-35,414;-34,425;-34,158;-33,817;-32,966;-32,313;-32,169;-31,939;-31,814;-31,734;-787,834
Helse og sosial;lavlast;hverdag;B;1047,507;1037,610;1035,683;1033,279;1035,930;1047,169;1130,662;1446,266;1621,148;1643,134;1701,602;1622,837;1564,323;1552,950;1499,838;1332,750;1239,387;1208,894;1199,303;1161,024;1139,271;1118,694;1092,305;1065,910;30577,476
Helse og sosial;lavlast;helg;A;-29,496;-29,856;-29,391;-29,349;-29,517;-30,075;-31,127;-33,476;-32,424;-31,189;-30,931;-29,626;-28,963;-29,541;-29,624;-30,166;-30,902;-31,106;-30,794;-30,278;-30,004;-29,462;-29,143;-29,106;-725,546
Helse og sosial;lavlast;helg;B;1039,224;1033,371;1027,648;1023,069;1026,746;1042,150;1094,224;1235,552;1273,124;1307,542;1317,396;1268,146;1226,543;1223,759;1186,703;1152,404;1138,119;1125,825;1134,554;1111,511;1096,046;1079,375;1058,400;1033,577;27255,008
Elkjel;høylast;hverdag;A;-17,284;-16,503;-19,098;-20,426;-21,075;-22,487;-22,774;-30,221;-33,447;-31,141;-30,605;-29,259;-27,927;-24,043;-22,417;-22,746;-20,257;-18,875;-19,221;-17,485;-18,361;-18,044;-17,744;-16,849;-538,289
Elkjel;høylast;hverdag;B;447,849;441,503;425,235;432,638;436,285;447,855;515,413;589,043;638,532;643,454;639,390;638,104;631,699;616,415;604,132;599,550;586,420;550,348;556,456;533,238;509,749;490,718;467,521;448,024;12889,571
Elkjel;høylast;helg;A;-3,924;-3,800;-6,290;-9,357;-10,456;-11,601;-8,443;-9,612;-12,750;-12,313;-17,663;-9,099;-8,365;-4,835;-1,756;0,098;2,143;1,704;-1,596;-4,106;-5,822;-6,207;-7,921;-8,198;-160,169
Elkjel;høylast;helg;B;425,988;431,453;415,589;418,182;422,411;423,669;452,001;457,269;472,189;485,759;485,811;503,571;500,573;492,582;465,295;465,527;462,820;464,741;469,174;468,971;460,731;457,984;456,365;452,749;11011,404
Elkjel;lavlast;hverdag;A;-20,190;-20,829;-19,613;-20,432;-20,445;-20,301;-20,618;-24,521;-28,737;-30,052;-30,569;-31,194;-31,482;-31,041;-30,251;-30,796;-30,298;-27,853;-26,904;-24,365;-22,993;-21,568;-20,516;-19,796;-605,364
Elkjel;lavlast;hverdag;B;420,315;416,822;393,742;399,727;401,357;409,795;479,844;544,315;600,589;620,049;621,963;617,173;609,829;596,422;582,623;583,795;577,699;546,821;538,112;511,956;495,302;476,396;458,466;433,298;12336,410
Elkjel;lavlast;helg;A;-18,114;-18,272;-17,438;-18,262;-18,079;-18,437;-18,785;-19,126;-20,399;-21,303;-21,766;-22,782;-22,901;-23,581;-22,038;-22,396;-22,811;-22,649;-22,204;-22,510;-22,039;-21,768;-21,358;-21,645;-500,663
Elkjel;lavlast;helg;B;394,262;387,472;370,409;373,321;372,444;377,563;418,830;423,674;439,092;459,483;475,782;487,929;485,269;484,283;460,815;458,179;461,110;461,939;463,260;467,822;462,565;458,246;453,674;443,967;10541,390
